id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,EoS6sYP2
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,gvKr4dJ0
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,0fRghOnw
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,THRnG3ld
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,eFss5iiP
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,Qj7ywoWS
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,2LaQEwVO
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,GJu7PekM
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,87Tk3oHp
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,5ua0n2jo
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,4112kgM3
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,d30z3DHT
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,DY0B62XK
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,sOrb6tej
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,VpadxsiD
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,o9hAzGWS
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,4FDmeYdC
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,st8rTzi6
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,62uHym48
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,Ushp3Zy1
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,kCIKapcQ
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,SA35kO86
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,Jh8rPdS0
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,NpiunUUM
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,e53yhJLs
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,hIFmePFK
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,7kIGrJ59
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,NRzNUEi4
